asin,number_of_reviews,number_of_stars,price,product_name
"/Anker-Kabelloses-Qi-Zertifiziert-Kompatibel-Schnellladungen-Schwarz/dp/B07DBX67NC?_encoding=UTF8&psc=1,/product-reviews/B07DBX67NC,/product-reviews/B07DBX67NC,/Anker-Kabelloses-Qi-Zertifiziert-Kompatibel-Schnellladungen-Schwarz/dp/B07DBX67NC?_encoding=UTF8&psc=1",585,"4,4 von 5 Sternen","13,59 €","
            Anker PowerWave Wireless Charger Ladepad, Kabelloses 10W Ladegerät, Qi-Zertifiziert, Kompatibel mit iphone 11/11 Pro/11 Pro max/XR/XS/X/8,10W Schnellladungen, Samsung Galaxy S10/S9 / S9+ /S8/S8+ usw.
        "
"/OMOTON-Positionierhilfe-Panzerglasfolie-Anti-Kratzen-Anti-Bl%C3%A4schen-durchsichtig/dp/B07PFSC6CW?_encoding=UTF8&psc=1,/product-reviews/B07PFSC6CW,/product-reviews/B07PFSC6CW,/OMOTON-Positionierhilfe-Panzerglasfolie-Anti-Kratzen-Anti-Bl%C3%A4schen-durchsichtig/dp/B07PFSC6CW?_encoding=UTF8&psc=1",143,"4,6 von 5 Sternen","7,99 €","
            [4 Stück] OMOTON Schutzfolie für iphone 11 pro und iphone X und iphone XS Mit Positionierhilfe Panzerglasfolie für iphone 11 Pro/ XS/ X [9H Härte], [Anti-Kratzen], [Anti-Öl], [Anti-Bläschen].
        "
"/Varta-Electronics-CR2025-Knopfzellen-Blisterverpackung-Silber/dp/B006XE8DEC?_encoding=UTF8&psc=1,/product-reviews/B006XE8DEC,/product-reviews/B006XE8DEC,/Varta-Electronics-CR2025-Knopfzellen-Blisterverpackung-Silber/dp/B006XE8DEC?_encoding=UTF8&psc=1,/Varta-Electronics-CR2025-Knopfzellen-Blisterverpackung-Silber/dp/B006XE8DEC?_encoding=UTF8&psc=1",3.805,"4,4 von 5 Sternen","5,09 €,(78,31 € / 100 cm)","
            VARTA Batterien Electronics CR2025 Lithium Knopfzelle (3V Batterie, 5er Pack Knopfzellen in Original 5er Blisterverpackung)
        "
"/Anker-Lightning-Ladekabel-Zertifiziert-weitere-Grau/dp/B01JS1WJP0?_encoding=UTF8&psc=1,/product-reviews/B01JS1WJP0,/product-reviews/B01JS1WJP0,/Anker-Lightning-Ladekabel-Zertifiziert-weitere-Grau/dp/B01JS1WJP0?_encoding=UTF8&psc=1",1.927,"4,4 von 5 Sternen","15,99 €","
            Anker iPhone Ladekabel, Lightning Kabel 2-Pack 1.8m Nylon iPhone Kabel [MFi Zertifiziert] für iPhone XR iPhone 7,iPhone X,iPhone 8,iPhone 6s iPhone 6, iPhone 7, iPhone XS/XS MAX/8 Plus (Grau)
        "
"/Spigen-064CS24866-Transparent-Durchsichtige-Schutzh%C3%BClle-LC-Crystal-Clear/dp/B07GHR12XH?_encoding=UTF8&psc=1,/Spigen-064CS24866-Transparent-Durchsichtige-Schutzh%C3%BClle-LC-Crystal-Clear/dp/B07GHR12XH?_encoding=UTF8&psc=1",,,"7,99 €",
"/UNBREAKcable-Panzerglasfolie-Displayschutzfolie-Anti-Fingerprint-kofferfreundlich-Durchsichtig/dp/B07JNJGM1G?_encoding=UTF8&psc=1,/product-reviews/B07JNJGM1G,/product-reviews/B07JNJGM1G,/UNBREAKcable-Panzerglasfolie-Displayschutzfolie-Anti-Fingerprint-kofferfreundlich-Durchsichtig/dp/B07JNJGM1G?_encoding=UTF8&psc=1",383,"4,3 von 5 Sternen","9,85 €","
            UNBREAKcable Panzerglas [2er Pack] Panzerglasfolie Kompatibel mit iPhone 11 Pro/XS/X/10 (5.8 Zoll), 2.5D Double Defense Series Displayschutzfolie, Kratzfest, Anti-Fingerprint, und Blasenfrei
        "
"/Varta-Electronics-Knopfzelle-Knopfzellen-Blisterverpackung/dp/B00TYEL11K?_encoding=UTF8&psc=1,/product-reviews/B00TYEL11K,/product-reviews/B00TYEL11K,/Varta-Electronics-Knopfzelle-Knopfzellen-Blisterverpackung/dp/B00TYEL11K?_encoding=UTF8&psc=1,/Varta-Electronics-Knopfzelle-Knopfzellen-Blisterverpackung/dp/B00TYEL11K?_encoding=UTF8&psc=1",3.805,"4,4 von 5 Sternen","5,01 €,(2.330,23 € / 100 g)","
            VARTA Batterien Electronics Lithium Knopfzelle 3V Batterie 5er Pack Knopfzellen in Original 5er Blisterverpackung, CR2032
        "
"/Spigen-Kompatibel-Transparent-Handyh%C3%BClle-076CS27179/dp/B07SZHHK5L?_encoding=UTF8&psc=1,/Spigen-Kompatibel-Transparent-Handyh%C3%BClle-076CS27179/dp/B07SZHHK5L?_encoding=UTF8&psc=1",,,"7,99 €",
"/AmazonBasics-Vorgeladene-Ni-MH-AA-Akkus-Akkubatterien-Wei%C3%9F/dp/B00CWNMV4G?_encoding=UTF8&psc=1,/AmazonBasics-Vorgeladene-Ni-MH-AA-Akkus-Akkubatterien-Wei%C3%9F/dp/B00CWNMV4G?_encoding=UTF8&psc=1",,,"13,99 €",
"/VIDET-Schutzfolie-Schutzfoliefolie-Displayschutz-Displayschutzfolie-Glass-Film/dp/B07P5C6MDT?_encoding=UTF8&psc=1,/product-reviews/B07P5C6MDT,/product-reviews/B07P5C6MDT,/VIDET-Schutzfolie-Schutzfoliefolie-Displayschutz-Displayschutzfolie-Glass-Film/dp/B07P5C6MDT?_encoding=UTF8&psc=1",284,"4,3 von 5 Sternen","7,88 €","
            A-VIDET 3 Stück Schutzfolie für Samsung Galaxy A50,9H Härte Super Langlebig, Anti-Öl,Schutzfoliefolie Displayschutz Displayschutzfolie für Samsung Galaxy A50
        "
"/Handyhalterung-L%C3%BCftungsschlitz-Universale-Autohalterung-Einzigartiges/dp/B01JKXW8DE?_encoding=UTF8&psc=1,/product-reviews/B01JKXW8DE,/product-reviews/B01JKXW8DE,/Handyhalterung-L%C3%BCftungsschlitz-Universale-Autohalterung-Einzigartiges/dp/B01JKXW8DE?_encoding=UTF8&psc=1",2.269,"4,3 von 5 Sternen","10,99 €","
            Avolare® Handyhalterung Auto Handyhalter fürs Auto Lüftung Universale Handy KFZ Halterungen Phone Halter [Einzigartiges Design, Hohe Qualität] für Phone, Samsung, Huawei, LG und mehr-Grau
        "
"/Echo-Dot-3-Gen-Intelligenter-Lautsprecher-mit-Alexa-Sandstein-Stoff/dp/B07PDHSPXT?_encoding=UTF8&psc=1,/product-reviews/B07PDHSPXT,/product-reviews/B07PDHSPXT,/Echo-Dot-3-Gen-Intelligenter-Lautsprecher-mit-Alexa-Sandstein-Stoff/dp/B07PDHSPXT?_encoding=UTF8&psc=1",15.417,"4,6 von 5 Sternen","42,99 €","
            Echo Dot (3. Gen.) Intelligenter Lautsprecher mit Alexa, Sandstein Stoff
        "
"/CBBH-Bluetooth-Stereo-Minikopfh%C3%B6rer-Ladek%C3%A4stchen-Integriertem-white/dp/B07WGSWGNY?_encoding=UTF8&psc=1,/CBBH-Bluetooth-Stereo-Minikopfh%C3%B6rer-Ladek%C3%A4stchen-Integriertem-white/dp/B07WGSWGNY?_encoding=UTF8&psc=1",,,"33,48 €",
"/UNBREAKcable-iPhone-Ladekabel-Lightning-Kabel-Silber-Grau/dp/B07D6NGPNS?_encoding=UTF8&psc=1,/product-reviews/B07D6NGPNS,/product-reviews/B07D6NGPNS,/UNBREAKcable-iPhone-Ladekabel-Lightning-Kabel-Silber-Grau/dp/B07D6NGPNS?_encoding=UTF8&psc=1",724,"4,3 von 5 Sternen","8,99 €","
            UNBREAKcable iPhone Ladekabel, Lightning Kabel - 1M [MFi-Zertifiziert] - Datenkabel geeignet für iPhone X iPhone 8, iPhone 6s iPhone 6, iPhone 7, iPhone XS/XS MAX/XR, iPad Air (Silber-Grau)
        "
"/Batterie-Knopfzelle-St%C3%BCck-Camelion-Alkaline/dp/B00GMED7YO?_encoding=UTF8&psc=1,/product-reviews/B00GMED7YO,/product-reviews/B00GMED7YO,/Batterie-Knopfzelle-St%C3%BCck-Camelion-Alkaline/dp/B00GMED7YO?_encoding=UTF8&psc=1",222,"4,5 von 5 Sternen","2,45 €","
            Batterie Knopfzelle 10 Stück AG 13 LR44
        "
"/JETech-Intelligent-Schutzh%C3%BClle-Funktion-Schlafen-Schwarz/dp/B06XZH8SKF?_encoding=UTF8&psc=1,/product-reviews/B06XZH8SKF,/product-reviews/B06XZH8SKF,/JETech-Intelligent-Schutzh%C3%BClle-Funktion-Schlafen-Schwarz/dp/B06XZH8SKF?_encoding=UTF8&psc=1",2.254,"4,6 von 5 Sternen","9,99 €","
            JETech Hülle für iPad (9,7 Zoll, Modell 2018/2017, 6. / 5. Generation), Intelligent Schutzhülle mit Auto Schlafen/Wachen, Schwarz
        "
"/ESR-Silikon-Entwickelt-iPhone-11-Klar/dp/B07VG7PMC5?_encoding=UTF8&psc=1,/product-reviews/B07VG7PMC5,/product-reviews/B07VG7PMC5,/ESR-Silikon-Entwickelt-iPhone-11-Klar/dp/B07VG7PMC5?_encoding=UTF8&psc=1",27,"4,1 von 5 Sternen","9,99 €","
            ESR Klar Silikon Entwickelt für iPhone 11 Hülle - Dünne klare weiche TPU Schutzhülle - Flexible Handyhülle mit Mikrodot-Muster und Display-Kameraschutz für iPhone 11 (2019) - Klar
        "
"/CHIP-TAN-GENERATOR-TAN-OPTIMUS-COMFORT/dp/B00ERD1JHY?_encoding=UTF8&psc=1,/product-reviews/B00ERD1JHY,/product-reviews/B00ERD1JHY,/CHIP-TAN-GENERATOR-TAN-OPTIMUS-COMFORT/dp/B00ERD1JHY?_encoding=UTF8&psc=1",248,"4,4 von 5 Sternen","19,99 €","
            CHIP-TAN GENERATOR KOBIL TAN OPTIMUS COMFORT V1.4 - Sparkassen - Banken Tan von EMW-Elektro-Media-World
        "
"/Anker-Lautsprecher-Dual-Treiber-Reichweite-Eingebauten/dp/B01MTB55WH?_encoding=UTF8&psc=1,/product-reviews/B01MTB55WH,/product-reviews/B01MTB55WH,/Anker-Lautsprecher-Dual-Treiber-Reichweite-Eingebauten/dp/B01MTB55WH?_encoding=UTF8&psc=1",3.202,"4,5 von 5 Sternen","41,99 €","
            Anker SoundCore 2 Bluetooth Lautsprecher, Duale Bass-Treiber, 24h Wiedergabe, 20m Reichweite, Verbesserter IPX7 Wasserschutz, mit eingebautem Mikrofon, Kabelloser Lautsprecher für iPhone, Samsung usw.
        "
"/Varta-Industrial-Batterie-Alkaline-Batterien-blau/dp/B0033DD43G?_encoding=UTF8&psc=1,/product-reviews/B0033DD43G,/product-reviews/B0033DD43G,/Varta-Industrial-Batterie-Alkaline-Batterien-blau/dp/B0033DD43G?_encoding=UTF8&psc=1",1.931,"4,5 von 5 Sternen","9,99 €","
            VARTA Industrial Batterie (AAA Micro Alkaline Batterien LR03, 40er pack)
        "
